source_name,alsda_id,th_positive_cells,repo_glial_cells,brain_area_pixels,glial_aggregates,elav_dendritic_field_area_left,elav_dendritic_field_area_right,elav_neuronal_field_area_left,elav_neuronal_field_area_right,8oxodG_positive_cells,cc3_positive_cells,brain_area_pixels
R0+25_SF1g_M6,R0+25_SF1g_M6,70,257,113850.585,24,,,,,,,
R0+25_SFug_F1,R0+25_SFug_F1,79,340,124908.98,13,,,,,,,
R0+25_SFug_F2,R0+25_SFug_F2,84,,103030.207,,,,,,,,
R0+25_SFug_F3,R0+25_SFug_F3,84,363,107747.801,11,,,,,,,
R0+25_SFug_F4,R0+25_SFug_F4,NA,140,107807.415,24,,,,,,,
R0+25_SFug_F5,R0+25_SFug_F5,82,167,124650.829,17,,,,,,,
R0+25_SFug_F6,R0+25_SFug_F6,78,234,147269.678,23,,,,,,,
R0+25_SFug_F7,R0+25_SFug_F7,57,275,115740.824,23,,,,,,,
R0+25_SFug_M1,R0+25_SFug_M1,78,212,119349.317,21,,,,,,,
R0+25_SFug_M2,R0+25_SFug_M2,69,241,108414.458,18,,,,,,,
R0+25_SFug_M3,R0+25_SFug_M3,74,87,105611.985,14,,,,,,,
R0+25_SFug_M4,R0+25_SFug_M4,81,288,114013.513,12,,,,,,,
R0+25_SFug_M5,R0+25_SFug_M5,73,305,107980.63,22,,,,,,,
R0+25_SFug_M6,R0+25_SFug_M6,74,,,,,,,,,,
R0+25_SFug_M7,R0+25_SFug_M7,76,327,134574.712,25,,,,,,,
R0+25_SFug_M8,R0+25_SFug_M8,81,226,129173.403,26,,,,,,,
R0+25_SFug_M9,R0+25_SFug_M9,80,323,119076.833,23,,,,,,,
R0+25_SFug_M10,R0+25_SFug_M10,76,165,149139.957,16,,,,,,,
R0_Earth_F1,R0_Earth_F10,,,,,0.019554996,0.01748553,0.138237764,0.107580419,19,,135683.462
R0_Earth_F2,R0_Earth_F11,,,,,0.018698363,0.016583151,0.103593592,0.120828763,23,226,109370.128
R0_Earth_F3,R0_Earth_F12,,,,,0.019696678,0.018806498,,0.116646539,22,279,144049.204
R0_Earth_F4,R0_Earth_F13,,,,,0.019611104,0.030203,0.118344057,0.16113661,19,200,99715.212
R0_Earth_F5,R0_Earth_F14,,,,,0.021188658,0.021281515,0.176579732,0.183552971,7,318,101451.315
R0_Earth_F6,R0_Earth_F15,,,,,0.020576309,0.019998192,0.177118951,0.122894404,12,,105387.509
R0_Earth_F7,R0_Earth_F16,,,,,0.020352482,0.019558913,0.113892761,0.168066853,11,230,121889.242
R0_Earth_M1,R0_Earth_M9,,,,,0.018400732,0.02307967,0.129183829,0.139775271,21,228,104298.367
R0_Earth_M2,R0_Earth_M10,,,,,0.020945857,0.022126768,,0.115620733,22,340,109096.062
R0_Earth_M3,R0_Earth_M11,,,,,0.018133369,0.018397031,0.114885943,0.122462305,27,219,133084.802
R0_Earth_M4,R0_Earth_M12,,,,,0.01978371,0.020530669,0.135678067,0.105732117,17,300,118125.295
R0_Earth_M5,R0_Earth_M13,,,,,0.015678354,0.021399412,0.114351882,,24,284,112262.022
R0_Earth_M6,R0_Earth_M14,,,,,0.018671373,0.020159415,0.115457871,0.115514039,27,260,102551.273
R0_SF1g_F1,R0_SF1g_F7,,,,,,,,,19,,117639.821
R0_SF1g_F2,R0_SF1g_F8,,,,,,,,,,,
R0_SF1g_F3,R0_SF1g_F9,,,,,0.019387665,0.01844688,0.13860324,0.14259824,17,358,127969.717
R0_SF1g_F6,R0_SF1g_F12,,,,,0.018919992,0.014730187,0.13562231,0.14930337,16,267,118170.665
R0_SF1g_F8,R0_SF1g_F13,,,,,0.015754156,0.017864183,0.09179228,0.08439807,14,233,106343.18
R0_SF1g_F9,R0_SF1g_F14,,,,,0.014504558,0.019547111,0.11212127,0.11780992,19,190,118396.372
R0_SF1g_F10,R0_SF1g_F15,,,,,0.024971767,0.019176199,0.14148587,0.1441216,10,134,1.10E+05
R0_SF1g_M1,R0_SF1g_M9,,,,,0.0182743,0.0147943,0.14864319,0.13631309,22,166,130020
R0_SF1g_M2,R0_SF1g_M10,,,,,0.0184805,0.0220202,0.11412367,0.13034508,14,190,118716.7
R0_SF1g_M3,R0_SF1g_M11,,,,,0.0205378,0.0196043,0.1476061,0.11327527,13,214,143400.1
R0_SF1g_M4,R0_SF1g_M12,,,,,0.0168319,0.019164,0.16064577,0.1305652,23,173,95616
R0_SF1g_M5,R0_SF1g_M13,,,,,0.0192908,0.0152086,0.14632492,0.13110376,6,230,108332.1
R0_SF1g_M6,R0_SF1g_M14,,,,,0.023525,0.0215324,0.16540645,0.18579942,18,350,104454.3
R0_SFug_F1,R0_SFug_F10,,,,,0.020355078,0.016253185,0.090996859,0.098700346,,339,97376.11
R0_SFug_F2,R0_SFug_F11,,,,,,,,,,,
R0_SFug_F3,R0_SFug_F12,,,,,0.019648845,0.017938308,0.132831571,0.132369393,24,251,94325.287
R0_SFug_F4,R0_SFug_F13,,,,,0.016784843,0.014332133,0.082197834,0.083081611,30,493,103679.666
R0_SFug_F5,R0_SFug_F14,,,,,0.015187222,0.016116056,0.085026262,0.099236925,29,369,96302.571
R0_SFug_F6,R0_SFug_F15,,,,,0.017752707,0.015451804,0.082013884,0.108410641,38,374,96973.36
R0_SFug_F7,R0_SFug_F16,,,,,0.018912447,0.017126934,0.088851913,0.127086326,38,399,8.67E+04
R0_SFug_F8,R0_SFug_F17,,,,,,,,,,,
R0_SFug_F9,R0_SFug_F18,,,,,0.016047724,0.019319348,0.062325372,0.115195109,44,347,102647.061
R0_SFug_M1,R0_SFug_M10,,,,,0.020109093,0.017316407,0.093693149,0.078355643,,486,119578.041
R0_SFug_M2,R0_SFug_M11,,,,,0.010813816,0.013162628,0.09092006,,28,312,108035.496
R0_SFug_M3,R0_SFug_M12,,,,,0.017721974,0.017446551,0.048618631,0.023564194,,267,125141.985
R0_SFug_M4,R0_SFug_M13,,,,,0.021463783,0.017088588,0.068388838,0.097182699,18,418,126065.474
R0_SFug_M5,R0_SFug_M14,,,,,0.015332812,0.018893404,0.104390414,0.093729399,55,304,123693.488
R0_SFug_M6,R0_SFug_M15,,,,,0.017812206,0.018736524,0.119646374,0.137226346,46,286,99787.135
R0_SFug_M7,R0_SFug_M16,,,,,0.013552965,0.016003333,0.091949806,0.063263913,31,284,
R0+25_Earth_F1,R0+25_Earth_F9,,,,,,,0.12543354,0.14265882,,173,120901.215
R0+25_Earth_F2,R0+25_Earth_F10,,,,,,,0.13143715,0.11161435,,228,102463.522
R0+25_Earth_F3,R0+25_Earth_F11,,,,,,,0.16863218,0.15304802,,146,
R0+25_Earth_F4,R0+25_Earth_F12,,,,,,,0.11536162,,,264,106518.417
R0+25_Earth_F5,R0+25_Earth_F13,,,,,,,0.10825616,0.10158239,,222,117585.868
R0+25_Earth_F6,R0+25_Earth_F14,,,,,,,0.14779822,0.1405738,,220,113412.449
R0+25_Earth_F7,R0+25_Earth_F15,,,,,,,0.1604802,0.13477658,,161,105533.643
R0+25_Earth_M1,R0+25_Earth_M8,,,,,,,0.14614078,0.1025851,,,122940.048
R0+25_Earth_M2,R0+25_Earth_M9,,,,,,,0.14101095,0.15040844,,124,130372.013
R0+25_Earth_M3,R0+25_Earth_M10,,,,,,,0.10514799,0.12025334,,132,108637.703
R0+25_Earth_M4,R0+25_Earth_M11,,,,,,,0.10508746,0.10998183,,154,126516.536
R0+25_Earth_M5,R0+25_Earth_M12,,,,,,,,,,132,92890.377
R0+25_Earth_M6,R0+25_Earth_M13,,,,,,,0.13239922,0.12207987,,,
R0+25_SF1g_F1,R0+25_SF1g_F10,,,,,,,0.10775555,0.11244167,,269,130375.531
R0+25_SF1g_F2,R0+25_SF1g_F11,,,,,,,0.14526277,0.08615457,,304,123827.664
R0+25_SF1g_F3,R0+25_SF1g_F12,,,,,,,0.1644093,0.13187877,,269,132155.158
R0+25_SF1g_F4,R0+25_SF1g_F13,,,,,,,0.16721387,0.14682012,,167,114496.14
R0+25_SF1g_F5,R0+25_SF1g_F14,,,,,,,0.10125045,0.11930343,,123,110797.259
R0+25_SF1g_F6,R0+25_SF1g_F15,,,,,,,0.10633241,0.11626535,,,122822.051
R0+25_SF1g_M1,R0+25_SF1g_M7,,,,,,,0.08766289,0.12647058,,298,
R0+25_SF1g_M2,R0+25_SF1g_M8,,,,,,,0.10402267,0.09782393,,209,132810.648
R0+25_SF1g_M3,R0+25_SF1g_M9,,,,,,,0.12056111,0.14629517,,291,138441.884
R0+25_SF1g_M4,R0+25_SF1g_M10,,,,,,,0.12314509,0.11865467,,256,118112.81
R0+25_SF1g_M5,R0+25_SF1g_M11,,,,,,,0.08698201,0.09852846,,,132641.302
R0+25_SF1g_M6,R0+25_SF1g_M12,,,,,,,0.12646228,0.12624071,,287,
R0+25_SFug_F1,R0+25_SFug_F8,,,,,,,0.02256827,0.01501621,,200,
R0+25_SFug_F2,R0+25_SFug_F9,,,,,,,0.08518237,0.08626481,,257,117206.642
R0+25_SFug_F3,R0+25_SFug_F10,,,,,,,0.00911889,0.01584946,,373,134475.355
R0+25_SFug_F4,R0+25_SFug_F11,,,,,,,0.04558012,0.02498644,,305,119192.192
R0+25_SFug_F5,R0+25_SFug_F12,,,,,,,0.03222296,0.04573019,,368,131182.342
R0+25_SFug_F6,R0+25_SFug_F13,,,,,,,0.02219701,0.07211037,,191,100835.832
R0+25_SFug_M1,R0+25_SFug_M11,,,,,,,0.13183547,0.12813951,,278,118627.354
R0+25_SFug_M2,R0+25_SFug_M12,,,,,,,0.10505514,0.09980529,,335,139267.071
R0+25_SFug_M3,R0+25_SFug_M13,,,,,,,0.10732491,0.11516406,,283,123929.922
R0+25_SFug_M4,R0+25_SFug_M14,,,,,,,0.13217861,0.15366604,,383,98549.925
R0+25_SFug_M5,R0+25_SFug_M15,,,,,,,0.12183968,0.13841487,,301,125643.516
R0+25_SFug_M6,R0+25_SFug_M16,,,,,,,0.11429231,0.13931057,,351,129463.999
