,FB ID,Gene Symbol
222,FBgn0001085,fz
223,FBgn0001086,fzy
224,FBgn0001087,g
225,FBgn0001089,Gal
226,FBgn0001090,bnb
227,FBgn0001091,Gapdh1
228,FBgn0001092,Gapdh2
229,FBgn0001098,Gdh
230,FBgn0001099,gdl
231,FBgn0001104,Galphai
232,FBgn0001105,Gbeta13F
233,FBgn0001108,DCTN1-p150
234,FBgn0001112,Gld
235,FBgn0001114,Glt
236,FBgn0001120,gnu
237,FBgn0001122,Galphao
238,FBgn0001123,Galphas
239,FBgn0001124,Got1
240,FBgn0001125,Got2
241,FBgn0001128,Gpdh1
242,FBgn0001133,grau
243,FBgn0001134,Grd
244,FBgn0001137,grk
245,FBgn0001138,grn
246,FBgn0001139,gro
247,FBgn0001142,Gs1
248,FBgn0001145,Gs2
249,FBgn0001147,gsb-n
250,FBgn0001148,gsb
251,FBgn0001149,GstD1
252,FBgn0001150,gt
253,FBgn0001168,hry
254,FBgn0001169,H
255,FBgn0001170,H2.0
256,FBgn0001174,halo
257,FBgn0001179,hay
258,FBgn0001180,hb
259,FBgn0001185,her
260,FBgn0001186,Hex-A
261,FBgn0001187,Hex-C
262,FBgn0001189,hfw
263,FBgn0001197,His2Av
264,FBgn0001202,hook
265,FBgn0001206,Hmr
266,FBgn0001208,Hn
267,FBgn0001215,Hrb98DE
268,FBgn0001216,Hsc70-1
269,FBgn0001217,Hsc70-2
270,FBgn0001218,Hsc70-3
271,FBgn0001220,Hsc70-5
272,FBgn0001222,Hsf
273,FBgn0001223,Hsp22
274,FBgn0001224,Hsp23
275,FBgn0001225,Hsp26
276,FBgn0001226,Hsp27
277,FBgn0001227,Hsp67Ba
278,FBgn0001228,CG4456
279,FBgn0001229,Hsp67Bc
280,FBgn0001230,Hsp68
281,FBgn0001233,Hsp83
282,FBgn0001234,lncRNA:Hsromega
283,FBgn0001235,hth
284,FBgn0001247,Ide
285,FBgn0001248,Idh
286,FBgn0001250,if
287,FBgn0001253,ImpE1
288,FBgn0001254,ImpE2
289,FBgn0001255,ImpE3
290,FBgn0001256,ImpL1
291,FBgn0001257,ImpL2
292,FBgn0001258,Ldh
293,FBgn0001259,in
294,FBgn0001263,inaD
295,FBgn0001269,inv
296,FBgn0001276,ix
297,FBgn0001280,janA
298,FBgn0001281,janB
299,FBgn0001285,Jon44E
300,FBgn0001291,Jra
301,FBgn0001296,kar
302,FBgn0001297,kay
303,FBgn0001301,kel
304,FBgn0001308,Khc
305,FBgn0001311,kkv
306,FBgn0001313,kl-2
307,FBgn0001316,klar
308,FBgn0001319,kn
309,FBgn0001320,kni
310,FBgn0001321,knk
311,FBgn0001323,knrl
312,FBgn0001324,kto
313,FBgn0001325,Kr
314,FBgn0001330,kz
315,FBgn0001341,Mybbp1A
316,FBgn0001404,egh
317,FBgn0001491,l(1)10Bb
